id,title,type,style_type,product_url,descr,color,size,keywords,image_name
481082,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-plus-size-viscose-jersey-ankle-leggings?ID=481082&CategoryID=2917,"
Eileen Fisher boasts everday style with these easy and flattering cropped pants in bi-stretch organic cotton. Embrace this versatile design that can be worn casual or dressed up.
","
Black
","1X, 2X, 3X, ","Covered elasticized waistband, Clean, no-pocket style, Rayon/Lycra  spandex, Machine wash, Made in USA, ",1064861
542735,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/splendid-1x1-turtleneck?ID=542735&CategoryID=2911,"
Super comfortable and a perfect addition to any wardrobe, this chic turtleneck is rendered in a luxuriously soft blend of Supima cotton and modal. Wear with leggings or skinny jeans for a streamlined silhouette.
",White,"X Small, Small, Medium, Large, ","Machine wash, Made in USA, Supima cotton/modal, ",1110374
497500,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-camisole-moments-1484?ID=497500&CategoryID=2910,"
A cute cami from Hanro with an embroidered lace neckline and shoulder strap. Style #1484
",Black,"X Small, Small, Medium, Large, ","Adjustable spaghetti straps, lace neck, Cotton; trim: polyamide/elastane. Machine wash. Imported, ",1110821
497500,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-camisole-moments-1484?ID=497500&CategoryID=2910,"
A cute cami from Hanro with an embroidered lace neckline and shoulder strap. Style #1484
",White,"X Small, Small, Medium, Large, ","Adjustable spaghetti straps, lace neck, Cotton; trim: polyamide/elastane. Machine wash. Imported, ",1110822
497500,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-camisole-moments-1484?ID=497500&CategoryID=2910,"
A cute cami from Hanro with an embroidered lace neckline and shoulder strap. Style #1484
",Skin,"X Small, Small, Medium, Large, ","Adjustable spaghetti straps, lace neck, Cotton; trim: polyamide/elastane. Machine wash. Imported, ",1123236
506013,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/vince-favorite-tank?ID=506013&CategoryID=2911,"
A basic foundation piece to layer or lounge in, Vince's essential tank is a must-have staple.
",Black,"X Small, Small, Medium, Large, ","Fitted, finely ribbed, Scoopneck, sleeveless, Pima cotton/modal. Machine wash. Imported, ",1125553
506013,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/vince-favorite-tank?ID=506013&CategoryID=2911,"
A basic foundation piece to layer or lounge in, Vince's essential tank is a must-have staple.
",White,"X Small, Small, Medium, Large, ","Fitted, finely ribbed, Scoopneck, sleeveless, Pima cotton/modal. Machine wash. Imported, ",1125555
507393,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/free-people-seamless-scoop-tank?ID=507393&CategoryID=2911,"
Free People's stretch tank is a seasonless staple perfect for layering under sweaters or topping off a flouncy skirt when warmer weather arrives.
",Black,"X Small/Small, Medium/Large, ","Scoopneck and back, Seamless, sleeveless, Nylon/spandex. Hand was cold separately. Made in USA, ",1127471
507393,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/free-people-seamless-scoop-tank?ID=507393&CategoryID=2911,"
Free People's stretch tank is a seasonless staple perfect for layering under sweaters or topping off a flouncy skirt when warmer weather arrives.
",Ivory,"X Small/Small, Medium/Large, ","Scoopneck and back, Seamless, sleeveless, Nylon/spandex. Hand was cold separately. Made in USA, ",1127547
1498645,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/velvet-by-graham-spencer-top-joss-dolman?ID=1498645&CategoryID=2911,"
","
Thunder
","Petite, Small, Medium, Large, X Large, ","Wide boatneck, three quarter dolman sleeves, We recommend ordering one size up for off-shoulder styling, Cotton, Machine wash, Made in USA, ",1130904
